NGC 104,0:24.1,-72:4.8
M 31,0:42.7,41:16.1
NGC 292,0:52.7,-72:48.6
NGC 869,2:19.1,57:8.1
NGC 884,2:22.5,57:8.7
Mel 20,03:22,49:00
M 45,03:47.0,24:07
Mel 25,4:27,16:00
M 42,5:35.3,-5:23.4
NGC 1981,5:35.2,-4:25.5
M 43,5:35.5,-5:16.1
M 35,6:9.0,24:21.0
NGC 2232,6:28.0,-4:50.9
M 41,6:46.0,-20:45.3
M 47,7:36.6,-14:28.8
NGC 2451,7:45.4,-37:58.0
NGC 2516,7:58.1,-60:45.2
M 44,8:40.0,19:40.3
IC 2391,8:40.3,-52:55.0
NGC 3114,10:2.7,-60:6.0
IC 2602,10:42.9,-64:23.7
NGC 3532,11:5.5,-58:44.0
Mel 111,12:25,26:00
NGC 4755,12:53.6,-60:21.4
NGC 5139,13:26.8,-47:28.8
NGC 6231,16:54.2,-41:49.5
M 6,17:40.3,-32:16.0
M 7,17:53.8,-34:47.0
M 8,18:3.8,-24:23.0
M 39,21:31.9,48:25.2
