HR 5339,Del Oct,14 26 54.89,-83 40 04.1,4.32
HR 8630,Bet Oct,22 46 03.31,-81 22 54.1,4.15
HR 5303,Eta Aps,14 18 13.80,-81 00 28.1,4.91
HR 4234,Del2Cha,10 45 46.80,-80 32 25.1,4.45
HR 4674,Bet Cha,12 18 20.69,-79 18 43.9,4.26
HR 5470,Alp Aps,14 47 51.60,-79 02 40.9,3.83
HR 6102,Gam Aps,16 33 27.00,-78 53 49.9,3.89
HR 6020,Del1Aps,16 20 20.81,-78 41 44.9,4.68
HR 4174,Gam Cha,10 35 28.10,-78 36 28.1,4.11
HR 4583,Eps Cha,11 59 37.30,-78 13 18.8,4.91
HR 6163,Bet Aps,16 43 04.61,-77 31 03.0,4.24
HR 3340,The Cha,08 20 38.50,-77 29 03.8,4.35
HR 8254,Nu Oct,21 41 28.49,-77 23 24.0,3.76
HR 98,Bet Hyi,00 25 45.10,-77 15 15.1,2.80
HR 9084,The Oct,00 01 35.71,-77 03 56.9,4.78
HR 3318,Alp Cha,08 18 31.61,-76 55 10.9,4.07
HR 872,Nu Hyi,02 50 28.51,-75 04 00.8,4.75
HR 1208,Gam Hyi,03 47 14.30,-74 14 20.0,3.24
HR 4102,,10 24 23.71,-74 01 54.1,4.00
HR 4142,,10 31 01.99,-73 13 18.1,4.93
HR 7590,Eps Pav,20 00 35.50,-72 54 38.2,3.96
HR 3024,Zet Vol,07 41 49.20,-72 36 22.0,3.95
HR 3643,,09 05 08.81,-72 36 10.1,4.48
HR 4773,Gam Mus,12 32 28.01,-72 07 59.2,3.87
HR 4138,,10 30 20.11,-71 59 35.2,4.74
HR 4923,Del Mus,13 02 16.20,-71 32 56.0,3.62
HR 6982,Zet Pav,18 43 02.11,-71 25 41.2,4.01
HR 3642,,09 05 38.30,-70 32 20.0,4.71
HR 2736,Gam2Vol,07 08 44.90,-70 29 56.0,3.78
HR 4538,,11 49 56.59,-70 13 32.9,4.97
HR 6098,Zet TrA,16 28 28.10,-70 05 03.8,4.91
HR 4037,Ome Car,10 13 44.21,-70 02 17.2,3.32
HR 3685,Bet Car,09 13 12.00,-69 43 01.9,1.68
HR 4798,Alp Mus,12 37 10.99,-69 08 08.2,2.69
HR 6217,Alp TrA,16 48 39.89,-69 01 40.1,1.92
HR 377,Kap Tuc,01 15 46.10,-68 52 34.0,4.86
HR 5671,Gam TrA,15 18 54.60,-68 40 45.8,2.89
HR 705,Del Hyi,02 21 44.90,-68 39 33.8,4.09
HR 3223,Eps Vol,08 07 55.80,-68 37 01.9,4.35
HR 806,Eps Hyi,02 39 35.40,-68 16 00.8,4.11
HR 4844,Bet Mus,12 46 16.90,-68 06 29.2,3.05
HR 4671,Eps Mus,12 17 34.10,-67 57 38.9,4.11
HR 2803,Del Vol,07 16 49.80,-67 57 25.9,3.98
HR 4993,Eta Mus,13 15 14.90,-67 53 39.8,4.80
HR 6417,Zet Aps,17 21 59.40,-67 46 14.2,4.78
HR 570,Eta2Hyi,01 54 56.09,-67 38 49.9,4.69
HR 837,Zet Hyi,02 45 32.59,-67 37 00.1,4.84
HR 7107,Kap Pav,18 56 57.00,-67 14 01.0,4.44
HR 1744,The Dor,05 13 45.41,-67 11 07.1,4.83
HR 4089,,10 22 58.10,-66 54 06.1,4.99
HR 4530,Mu Mus,11 48 14.30,-66 48 52.9,4.72
HR 5002,,13 17 13.01,-66 47 01.0,4.87
