M 2,21:33.5,0:49.4
M 3,13:42.2,28:22.6
M 4,16:23.6,-26:31.5
M 5,15:18.6,2:5.0
M 6,17:40.3,-32:16.0
M 7,17:53.8,-34:47.0
M 8,18:3.8,-24:23.0
M 10,16:57.2,-4:5.9
M 11,18:51.1,-6:16.0
M 12,16:47.2,-1:56.8
M 13,16:41.7,36:27.6
M 15,21:30.0,12:10.1
M 16,18:18.8,-13:47.8
M 17,18:20.8,-16:11.0
M 18,18:20.0,-17:6.1
M 22,18:36.4,-23:54.2
M 23,17:57.0,-19:1.0
M 24,18:16.9,-18:29
M 25,18:31.8,-19:6.9
M 27,19:59.6,22:43.3
M 29,20:24.0,38:29.9
M 31,0:42.7,41:16.1
M 34,2:42.1,42:45.7
M 35,6:9.0,24:21.0
M 36,5:36.3,34:8.4
M 37,5:52.3,32:33.2
M 38,5:28.7,35:51.3
M 39,21:31.9,48:25.2
M 41,6:46.0,-20:45.3
M 42,5:35.3,-5:23.4
M 44,8:40.0,19:40.3
M 45,03:47.0,24:07
M 46,7:41.8,-14:48.6
M 47,7:36.6,-14:28.8
M 48,8:13.7,-5:45.0
M 50,7:2.8,-8:23.0
M 52,23:24.8,61:36.4
M 55,19:40.0,-30:57.7
M 67,8:51.4,11:49.0
M 92,17:17.1,43:8.2
M 93,7:44.5,-23:51.2
M 103,1:33.4,60:39.5
