NGC 7009,21:04.2,-11:02
NGC 7293,22:29.6,-20:48
NGC 7331,22:37.1,+34:25
NGC 7635,23:20.7,+61:12
NGC 7789,23:57.0,+56:44
NGC 185,00:39.0,+48:20
NGC 281,00:52.8,+56:36
NGC 457,01:19.1,+58:20
NGC 663,01:46.0,+61:15
IC 289,03:10.3,+61:19
NGC 7662,23:25.9,+42:33
NGC 891,02:22.6,+42:21
NGC 253,00:47.6,-25:17
NGC 772,01:59.3,+19:01
NGC 246,00:47.0,-11:53
NGC 936,02:27.6,-01:09
NGC 869,02:19.1,+57:09
NGC 884,02:22.0,+57:08
NGC 1023,02:40.4,+39:04
NGC 1491,04:03.4,+51:19
NGC 1501,04:07.0,+60:55
NGC 1232,03:09.8,-20:35
NGC 1535,04:14.2,-12:44
NGC 1514,04:09.2,+30:47
NGC 1931,05:31.4,+34:15
NGC 1788,05:06.9,-03:21
NGC 1973,05:35.1,-04:44
NGC 2022,05:42.1,+09:05
NGC 2024,05:40.7,-02:27
NGC 2194,06:13.8,+12:48
NGC 2371,07:25.6,+29:29
NGC 2392,07:29.2,+20:55
NGC 2237,06:32.3,+05:03
NGC 2261,06:39.2,+08:44
NGC 2359,07:18.6,-13:12
NGC 2440,07:41.9,-18:13
NGC 2539,08:10.7,-12:50
NGC 2403,07:36.9,+65:36
NGC 2655,08:55.6,+78:13
NGC 2683,08:52.7,+33:25
NGC 2841,09:22.0,+50:58
NGC 3079,10:02.2,+55:41
NGC 3184,10:18.3,+41:25
NGC 3877,11:46.1,+47:30
NGC 3941,11:52.9,+36:59
NGC 4026,11:59.4,+50:58
NGC 4088,12:05.6,+50:33
NGC 4157,12:11.1,+50:29
NGC 4605,12:40.0,+61:37
NGC 3115,10:05.2,-07:43
NGC 3242,10:24.8,-18:38
NGC 3003,09:48.6,+33:25
NGC 3344,10:43.5,+24:55
NGC 3432,10:52.5,+36:37
NGC 2903,09:32.2,+21:30
NGC 3384,10:48.3,+12:38
NGC 3521,11:05.8,-00:02
NGC 3607,11:16.9,+18:03
NGC 3628,11:20.3,+13:36
NGC 4111,12:07.1,+43:04
NGC 4214,12:15.6,+36:20
NGC 4244,12:17.5,+37:49
NGC 4449,12:28.2,+44:06
NGC 4490,12:30.6,+41:38
NGC 4631,12:42.1,+32:32
NGC 4656,12:44.0,+32:10
NGC 5005,13:10.9,+37:03
NGC 5033,13:13.4,+36:36
NGC 4274,12:19.8,+29:37
NGC 4414,12:26.4,+31:13
NGC 4494,12:31.4,+25:47
NGC 4559,12:36.0,+27:58
NGC 4565,12:36.3,+25:59
NGC 4725,12:50.4,+25:30
NGC 4038,12:01.9,-18:52
NGC 4361,12:24.5,-18:48
NGC 4216,12:15.9,+13:09
NGC 4388,12:25.8,+12:40
NGC 4438,12:27.8,+13:01
NGC 4517,12:32.8,+00:07
NGC 4526,12:34.0,+07:42
NGC 4535,12:34.3,+08:12
NGC 4567,12:36.5,+11:15
NGC 4699,12:49.0,-08:40
NGC 4762,12:52.9,+11:14
NGC 5746,14:44.9,+01:57
NGC 5466,14:05.5,+28:32
NGC 5907,15:15.9,+56:19
NGC 6503,17:49.4,+70:09
NGC 6543,17:58.6,+66:38
NGC 6210,16:44.5,+23:49
NGC 6369,17:29.3,-23:46
NGC 6572,18:12.1,+06:51
NGC 6633,18:27.7,+06:34
NGC 6712,18:53.1,-08:42
NGC 6781,19:18.4,+06:33
NGC 6819,19:41.3,+40:11
NGC 6826,19:44.8,+50:31
NGC 6888,20:12.0,+38:21
NGC 6960,20:45.7,+30:43
NGC 6992,20:56.4,+31:43
NGC 7000,20:58.8,+44:20
NGC 7027,21:07.1,+42:14
NGC 6445,17:49.2,-20:01
NGC 6520,18:03.4,-27:54
NGC 6818,19:44.0,-14:09
NGC 6802,19:30.6,+20:16
NGC 6940,20:34.6,+28:18
NGC 6939,20:31.4,+60:38
NGC 6946,20:34.8,+60:09
NGC 7129,21:44.4,+66:10
NGC 40,00:13.0,+72:32
