NGC 104,00:24.1,-72:05
SMC,00:52.8,-72:50
NGC 362,01:03.2,-70:51
NGC 1261,03:12.3,-55:13
NGC 1851,05:14.1,-40:03
LMC,05:23.6,-69:45
NGC 2070,05:38.6,-69:05
NGC 2451,07:45.4,-37:58
NGC 2477,07:52.3,-38:33
NGC 2516,07:58.3,-60:52
NGC 2547,08:10.7,-49:16
NGC 2546,08:12.4,-37:38
NGC 2627,08:37.3,-29:57
IC 2391,08:40.2,-53:04
IC 2395,08:41.1,-48:12
NGC 2659,08:42.6,-44:57
NGC 2670,08:45.5,-48:47
NGC 2808,09:12.0,-64:52
IC 2488,09:27.6,-56:59
NGC 2910,09:30.4,-52:54
NGC 2925,09:33.7,-53:26
NGC 3114,10:02.7,-60:07
NGC 3201,10:17.6,-46:25
NGC 3228,10:21.8,-51:43
NGC 3293,10:35.8,-58:14
Mel 101,10:42.1,-65:06
IC 2602,10:43.2,-64:24
NGC 3372,10:43.8,-59:52
NGC 3532,11:06.4,-58:40
IC 2714,11:17.9,-62:42
Mel 105,11:19.5,-63:30
NGC 3766,11:36.1,-61:37
NGC 4052,12:01.9,-63:12
NGC 4103,12:06.7,-61:15
NGC 4337,12:23.9,-58:08
NGC 4349,12:24.5,-61:54
H 5,12:29.0,-60:46
NGC 4463,12:30.0,-64:48
H 6,12:37.9,-68:28
NGC 4609,12:42.3,-62:58
COALSACK,12:52.0,-63:00
NGC 4755,12:53.6,-60:20
NGC 4815,12:58.0,-64:57
NGC 4833,12:59.6,-70:53
NGC 4852,13:00.1,-59:36
NGC 5128,13:25.5,-43:01
NGC 5139,13:26.8,-47:29
NGC 5286,13:46.4,-51:22
NGC 5316,13:53.9,-61:52
NGC 5460,14:07.6,-48:19
NGC 5617,14:29.8,-60:43
NGC 5662,14:35.2,-56:33
NGC 5822,15:05.2,-54:21
NGC 5823,15:05.7,-55:36
NGC 5925,15:27.7,-54:31
NGC 6025,16:03.7,-60:30
NGC 6067,16:13.2,-54:13
H 10,16:19.9,-54:59
NGC 6087,16:18.9,-57:54
NGC 6124,16:25.6,-40:40
NGC 6134,16:27.7,-49:09
NGC 6152,16:32.7,-52:37
NGC 6167,16:34.4,-49:36
NGC 6208,16:49.5,-53:49
NGC 6231,16:54.0,-41:48
H 13,17:05.4,-48:11
IC 4651,17:24.7,-49:57
NGC 6352,17:25.5,-48:25
NGC 6362,17:31.9,-67:03
NGC 6397,17:40.7,-53:40
NGC 6541,18:08.0,-43:42
NGC 6584,18:18.6,-52:13
NGC 6752,19:10.9,-59:59
