NGC 129,00:29.9,+60:14
NGC 221,00:42.7,+40:52
NGC 224,00:42.7,+41:16
NGC 457,01:19.1,+58:20
NGC 663,01:46.0,+61:15
Cr 463,01:48.4,+71:57
NGC 752,01:57.8,+37:41
Stock 2,02:15.0,+59:16
NGC 869,02:19.0,+57:09
NGC 884,02:22.4,+57:07
Tr 2,02:37.3,+55:59
NGC 1068,02:42.7,-00:01
Tr 3,03:11.8,+63:15
Stock 23,03:16.0,+60:02
Mel 20,03:22.0,+49:00
NGC 1342,03:31.6,+37:20
M 45,03:46.9,+24:07
Hyades,04:27.0,+16:00
NGC 1647,04:46.0,+19:04
NGC 1807,05:10.7,+16:32
NGC 1817,05:12.1,+16:42
NGC 1912,05:28.7,+35:50
NGC 1960,05:36.1,+34:08
NGC 1976,05:35.4,-05:27
NGC 1981,05:35.2,-04:26
NGC 2099,05:52.4,+32:33
NGC 2168,06:08.9,+24:20
NGC 2169,06:08.4,+13:57
NGC 2232,06:26.6,-04:45
NGC 2244,06:32.4,+04:52
NGC 2264,06:41.1,+09:53
NGC 2281,06:49.3,+41:04
NGC 2287,06:46.1,-20:46
NGC 2301,06:51.8,+00:28
NGC 2323,07:03.2,-08:20
NGC 2392,07:29.2,+20:55
NGC 2539,08:10.7,-12:50
NGC 2548,08:13.8,-05:48
NGC 2632,08:40.1,+19:59
NGC 2682,08:50.4,+11:49
NGC 3031,09:55.6,+69:04
NGC 3034,09:55.8,+69:41
NGC 3242,10:24.8,-18:38
Mel 111,12:25.0,+26:00
NGC 4374,12:25.1,+12:53
NGC 4406,12:26.2,+12:57
NGC 4486,12:30.8,+12:24
NGC 4594,12:40.0,-11:37
NGC 4736,12:50.9,+41:07
NGC 4826,12:56.7,+21:41
NGC 5272,13:42.2,+28:23
NGC 5904,15:18.6,+02:05
NGC 6121,16:23.6,-26:32
NGC 6205,16:41.7,+36:28
NGC 6210,16:44.5,+23:49
NGC 6218,16:47.2,-01:57
NGC 6254,16:57.1,-04:06
NGC 6266,17:01.2,-30:07
NGC 6341,17:17.1,+43:08
NGC 6405,17:40.1,-32:13
IC 4665,17:46.3,+05:43
NGC 6475,17:53.9,-34:49
NGC 6520,18:03.4,-27:54
NGC 6523,18:03.8,-24:23
NGC 6618,18:20.8,-16:11
NGC 6633,18:27.7,+06:34
NGC 6656,18:36.4,-23:54
IC 4756,18:39.0,+05:27
NGC 6705,18:51.1,-06:16
NGC 6709,18:51.5,+10:21
NGC 6720,18:53.6,+33:02
Cr 399,19:25.4,+20:11
NGC 6818,19:44.0,-14:09
NGC 6826,19:44.8,+50:31
NGC 6853,19:59.6,+22:43
NGC 6910,20:23.1,+40:47
NGC 6934,20:34.2,+07:24
NGC 6940,20:34.6,+28:18
NGC 7009,21:04.2,-11:22
NGC 7078,21:30.0,+12:10
NGC 7089,21:33.5,-00:49
NGC 7092,21:32.2,+48:26
NGC 7160,21:53.7,+62:36
NGC 7209,22:05.2,+46:30
NGC 7243,22:15.3,+49:53
NGC 7662,23:25.9,+42:33
NGC 7789,23:57.0,+56:44
Eta Cassiopeia,00:49.1,+57:49
Gamma Aries,01:53.5,+19:18
Gamma Andromeda,02:03.9,+42:20
Beta Perseus,03:08.2,+40:57
Trapezium,05:35.3,-05:23
Beta Monoceros,06:28.8,-07:02
Gamma Leo,10:20.0,+19:51
Zeta UrsMajor,13:23.9,+54:56
Beta Scorpius,16:05.4,-19:48
Epsilon Lyra,18:44.3,+39:40
Beta Cygnus,19:30.7,+27:58
Gamma Delphinus,20:46.7,+16:07
Delta Cepheus,22:29.2,+58:25
